Method;File;CompRatio;PSNR;RMSE;SSIM;Qua
JPEG;vase.rti;135.70705788;22.8739;0.0718296;0.7620;1
JPEG;vase.rti;135.688920075;22.877;0.0718046;0.7603;2
JPEG;vase.rti;131.70195239;23.2072;0.0691256;0.6755;3
JPEG;vase.rti;122.945746291;24.3246;0.0607813;0.5806;4
JPEG;vase.rti;114.423724993;25.2237;0.0548046;0.4613;5
JPEG;vase.rti;83.8699270947;28.039;0.0396325;0.2116;10
JPEG;vase.rti;67.6974294002;29.6559;0.0329007;0.1477;15
JPEG;vase.rti;58.0974849066;30.8636;0.0286301;0.1132;20
JPEG;vase.rti;51.4350238119;31.6082;0.0262778;0.0949;25
JPEG;vase.rti;46.7049040806;32.3754;0.0240563;0.0775;30
JPEG;vase.rti;42.8907689058;32.9973;0.0223942;0.0680;35
JPEG;vase.rti;40.2515462691;33.4085;0.0213588;0.0625;40
JPEG;vase.rti;37.6078718281;33.8953;0.0201946;0.0548;45
JPEG;vase.rti;35.5934999255;34.3298;0.0192093;0.0517;50
JPEG;vase.rti;33.7460465194;34.6281;0.0185607;0.0467;55
JPEG;vase.rti;31.7081774953;35.074;0.017632;0.0422;60
JPEG;vase.rti;29.4722869356;35.6328;0.0165333;0.0368;65
JPEG;vase.rti;27.102827815;36.3494;0.0152241;0.0330;70
JPEG;vase.rti;24.8424626528;37.172;0.0138484;0.0268;75
JPEG;vase.rti;21.9690877812;38.2048;0.0122958;0.0216;80
JPEG;vase.rti;18.8368192297;39.4608;0.0106405;0.0167;85
JPEG;vase.rti;15.0825382087;41.4197;0.00849206;0.0114;90
JPEG;vase.rti;10.6239205109;44.6656;0.00584414;0.0065;95
