Method;File;CompRatio;PSNR;RMSE;SSIM;Alpha;Beta
abJPEG;vase.rti;130.903810199;21.9907;0.0795179;0.4781;5;5
abJPEG;vase.rti;130.693164264;24.4219;0.0601043;0.4613;5;15
abJPEG;vase.rti;130.386835768;24.4516;0.0598991;0.4488;5;25
abJPEG;vase.rti;129.840708531;24.614;0.0587895;0.4453;5;35
abJPEG;vase.rti;129.249753334;24.4594;0.0598451;0.4436;5;45
abJPEG;vase.rti;128.493165422;24.268;0.0611787;0.3565;5;55
abJPEG;vase.rti;127.640986956;24.4167;0.06014;0.3862;5;65
abJPEG;vase.rti;126.259926002;24.4264;0.0600731;0.3854;5;75
abJPEG;vase.rti;123.076163055;24.4257;0.0600776;0.3848;5;85
abJPEG;vase.rti;108.302165564;24.4384;0.0599903;0.3838;5;95
abJPEG;vase.rti;73.8264552958;23.2828;0.0685265;0.1873;15;5
abJPEG;vase.rti;73.7594086022;27.0338;0.044495;0.1798;15;15
abJPEG;vase.rti;73.6617388307;27.0869;0.0442239;0.1650;15;25
abJPEG;vase.rti;73.4871154542;27.3977;0.0426691;0.1604;15;35
abJPEG;vase.rti;73.2974387669;27.0973;0.0441708;0.1587;15;45
abJPEG;vase.rti;73.0535007556;26.6445;0.0465345;0.2380;15;55
abJPEG;vase.rti;72.7772540727;27.1691;0.043807;0.1731;15;65
abJPEG;vase.rti;72.3261794931;27.1905;0.0436994;0.1723;15;75
abJPEG;vase.rti;71.27008196;27.1897;0.0437036;0.1713;15;85
abJPEG;vase.rti;66.0523422251;27.2148;0.0435774;0.1704;15;95
abJPEG;vase.rti;55.379909448;23.628;0.0658571;0.1406;25;5
abJPEG;vase.rti;55.3421734035;27.9129;0.0402119;0.1347;25;15
abJPEG;vase.rti;55.2871710392;27.9868;0.0398715;0.1193;25;25
abJPEG;vase.rti;55.1887418119;28.3718;0.0381427;0.1134;25;35
abJPEG;vase.rti;55.08169549;28.0011;0.0398058;0.1121;25;45
abJPEG;vase.rti;54.9438235692;27.434;0.0424912;0.1281;25;55
abJPEG;vase.rti;54.7874151725;27.956;0.040013;0.1008;25;65
abJPEG;vase.rti;54.5313889001;27.9837;0.0398856;0.0997;25;75
abJPEG;vase.rti;53.9288721265;27.9816;0.039895;0.0989;25;85
abJPEG;vase.rti;50.8871707476;28.0124;0.039754;0.0977;25;95
abJPEG;vase.rti;45.924772406;23.791;0.0646322;0.1249;35;5
abJPEG;vase.rti;45.8988188754;28.3633;0.0381799;0.1185;35;15
abJPEG;vase.rti;45.8609793558;28.4366;0.0378591;0.1037;35;25
abJPEG;vase.rti;45.7932317685;28.8644;0.0360395;0.0973;35;35
abJPEG;vase.rti;45.7195064286;28.4528;0.0377885;0.0960;35;45
abJPEG;vase.rti;45.6244789736;27.8054;0.0407127;0.1126;35;55
abJPEG;vase.rti;45.5165773723;28.4035;0.0380035;0.0802;35;65
abJPEG;vase.rti;45.3397271286;28.4338;0.0378714;0.0786;35;75
abJPEG;vase.rti;44.9224319122;28.4321;0.0378785;0.0779;35;85
abJPEG;vase.rti;42.7917891653;28.4655;0.0377332;0.0766;35;95
abJPEG;vase.rti;40.2320061028;23.8784;0.0639852;0.1087;45;5
abJPEG;vase.rti;40.2120867042;28.6204;0.0370662;0.1024;45;15
abJPEG;vase.rti;40.1830397783;28.7027;0.0367169;0.0878;45;25
abJPEG;vase.rti;40.1310195571;29.1574;0.0348442;0.0814;45;35
abJPEG;vase.rti;40.0743876685;28.7211;0.036639;0.0799;45;45
abJPEG;vase.rti;40.0013593515;28.0122;0.0397549;0.1145;45;55
abJPEG;vase.rti;39.9183918215;28.6905;0.0367685;0.0718;45;65
abJPEG;vase.rti;39.7823037285;28.7224;0.0366336;0.0699;45;75
abJPEG;vase.rti;39.4606743757;28.7206;0.0366414;0.0691;45;85
abJPEG;vase.rti;37.8070961075;28.7573;0.0364868;0.0678;45;95
